,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
610383,2007,193,0,0.0,*,*
610383,2008,271,29,10.7,20,69.0
610383,2009,344,96,27.9,25,26.0
610383,2010,356,71,19.9,21,29.6
610383,2011,368,65,17.7,22,33.8
610383,2012,371,77,20.8,37,48.1
610383,2013,356,98,27.5,27,27.6
610384,2006,100,0,0.0,*,*
610384,2007,188,0,0.0,*,*
610384,2008,262,59,22.5,23,39.0
610384,2009,342,63,18.4,34,54.0
610384,2010,355,93,26.2,39,41.9
610384,2011,364,90,24.7,38,42.2
610384,2012,388,87,22.4,47,54.0
610384,2013,410,84,20.5,39,46.4
610385,2006,100,0,0.0,*,*
610385,2007,191,0,0.0,*,*
610385,2008,260,0,0.0,*,*
610385,2009,317,36,11.4,0,0.0
610385,2010,353,0,0.0,*,*
610385,2011,341,32,9.4,7,21.9
610385,2012,315,59,18.7,6,10.2
610385,2013,290,57,19.7,9,15.8
610386,2000,29,0,0.0,*,*
610386,2001,21,0,0.0,*,*
610386,2002,22,0,0.0,*,*
610386,2003,26,0,0.0,*,*
610386,2004,33,0,0.0,*,*
610386,2005,31,0,0.0,*,*
610386,2006,82,0,0.0,*,*
610386,2007,118,0,0.0,*,*
610386,2008,79,0,0.0,*,*
610386,2009,124,0,0.0,*,*
610386,2010,118,0,0.0,*,*
610386,2011,113,67,59.3,0,0.0
610386,2012,120,1,0.8,*,*
610386,2013,114,0,0.0,*,*
610389,2000,1053,0,0.0,*,*
610389,2001,1123,0,0.0,*,*
610389,2002,1217,21,1.7,0,0.0
610389,2003,981,19,1.9,0,0.0
610389,2004,793,26,3.3,0,0.0
610389,2009,1210,104,8.6,1,1.0
610389,2010,1135,114,10.0,0,0.0
610389,2011,956,91,9.5,1,1.1
610389,2012,823,64,7.8,3,4.7
610389,2013,676,45,6.7,1,2.2
610390,2006,112,0,0.0,*,*
610390,2007,220,0,0.0,*,*
610390,2008,318,36,11.3,11,30.6
610390,2009,393,51,13.0,10,19.6
610390,2010,397,53,13.4,14,26.4
610390,2011,448,66,14.7,33,50.0
610390,2012,424,59,13.9,21,35.6
610390,2013,479,77,16.1,24,31.2
610391,2006,117,7,6.0,*,*
610391,2007,239,29,12.1,3,10.3
610391,2008,484,70,14.5,12,17.1
610391,2009,599,110,18.4,33,30.0
610391,2010,616,287,46.6,55,19.2
610391,2011,722,200,27.7,58,29.0
610391,2012,712,333,46.8,125,37.5
610391,2013,801,312,39.0,151,48.4
610392,2006,104,0,0.0,*,*
610392,2007,184,0,0.0,*,*
610392,2008,245,28,11.4,13,46.4
610392,2009,343,68,19.8,19,27.9
610392,2010,363,61,16.8,22,36.1
610392,2011,379,77,20.3,27,35.1
610392,2012,379,76,20.1,23,30.3
610392,2013,371,67,18.1,23,34.3
610394,2006,123,0,0.0,*,*
610394,2007,258,0,0.0,*,*
610394,2008,413,27,6.5,0,0.0
610394,2009,469,52,11.1,0,0.0
610394,2010,465,70,15.1,5,7.1
610394,2011,470,105,22.3,5,4.8
610394,2012,434,96,22.1,7,7.3
610394,2013,389,84,21.6,9,10.7
610401,2007,433,0,0.0,*,*
610401,2008,320,0,0.0,*,*
610401,2009,207,0,0.0,*,*
610401,2010,217,0,0.0,*,*
610401,2011,227,0,0.0,*,*
610401,2012,184,0,0.0,*,*
610401,2013,60,0,0.0,*,*
610402,2006,224,0,0.0,*,*
610402,2007,204,0,0.0,*,*
610402,2008,184,0,0.0,*,*
610402,2009,198,0,0.0,*,*
610402,2010,218,6,2.8,*,*
610402,2011,221,28,12.7,2,7.1
610402,2012,200,70,35.0,15,21.4
610402,2013,187,97,51.9,23,23.7
610499,2008,121,0,0.0,*,*
610499,2009,234,0,0.0,*,*
610499,2010,349,0,0.0,*,*
610499,2011,421,56,13.3,0,0.0
610499,2012,409,38,9.3,0,0.0
610499,2013,433,36,8.3,0,0.0
610501,2008,121,0,0.0,*,*
610501,2009,256,0,0.0,*,*
610501,2010,330,0,0.0,*,*
610501,2011,363,14,3.9,3,21.4
610501,2012,251,17,6.8,0,0.0
610501,2013,192,7,3.6,*,*
610502,2008,122,0,0.0,*,*
610502,2009,238,0,0.0,*,*
610502,2010,321,33,10.3,9,27.3
610502,2011,379,64,16.9,10,15.6
610502,2012,367,81,22.1,22,27.2
610502,2013,376,73,19.4,16,21.9
610506,2008,139,0,0.0,*,*
610506,2009,274,0,0.0,*,*
610506,2010,363,34,9.4,0,0.0
610506,2011,446,86,19.3,0,0.0
610506,2012,440,81,18.4,2,2.5
610506,2013,397,88,22.2,0,0.0
610513,2010,126,0,0.0,*,*
610513,2011,212,0,0.0,*,*
